Serial ready..

Emax on serial3, F550 on serial1, 

time , LAT_1 , LNG_1 , REL_ALT_1 , LAT_3 , LNG_3 , REL_ALT_3 , GND_SPD_3 , HDG_3 , DIST , CRS , CALC_LAT , CALC_LNG , execution time
6753, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 1.1, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3240
7248, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
7788, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
8364, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.1, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
8920, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.1, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3132
9485, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
10036, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
11155, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
11707, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
12827, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3132
13367, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.3, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
13932, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
15033, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.7, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
15571, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
16113, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.6, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3132
16655, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3248
17193, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
17748, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
18354, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
18872, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
19412, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
19953, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.6, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
20520, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
21074, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
21633, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
22167, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
22727, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
23281, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
