timeStamp , LAT_1 , LNG_1 , REL_ALT_1 , lat , lon , alt , speed , heading , DIST , CRS , latP , lonP , executionTime
5774, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -2.3, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3248
6325, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.6, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3240
6865, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.6, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3240
7456, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3236
8009, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3240
8588, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.4, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3240
9614, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.5, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
10173, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.3, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
10725, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.3, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
11295, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.3, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3128
11827, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.3, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
12405, 0.0000000, 0.0000000, 0.0, 44.2006187, 12.0630626, -0.3, 0.0, 0.0, 5059336.00, 197.04, 44.2006187, 12.0630626, 3304
12926, 0.0000000, 0.0000000, 0.0, 44.2006225, 12.0630626, -0.3, 0.0, 0.0, 5059336.00, 197.04, 44.2006225, 12.0630626, 3300
13492, 0.0000000, 0.0000000, 0.0, 44.2006225, 12.0630636, -0.3, 0.1, 0.0, 5059336.00, 197.04, 44.2006225, 12.0630636, 3308
14033, 0.0000000, 0.0000000, 0.0, 44.2006225, 12.0630645, -0.3, 0.0, 0.0, 5059336.00, 197.04, 44.2006225, 12.0630645, 3300
14604, 0.0000000, 0.0000000, 0.0, 44.2006225, 12.0630645, -0.3, 0.0, 0.0, 5059336.00, 197.04, 44.2006225, 12.0630645, 3304
15141, 0.0000000, 0.0000000, 0.0, 44.2006225, 12.0630645, -0.2, 0.0, 0.0, 5059336.00, 197.04, 44.2006225, 12.0630645, 3300
15696, 0.0000000, 0.0000000, 0.0, 44.2006263, 12.0630645, -0.4, 0.0, 359.0, 5059336.00, 197.04, 44.2006263, 12.0630645, 3372
16241, 0.0000000, 0.0000000, 0.0, 44.2006263, 12.0630645, -0.3, 0.0, 359.0, 5059336.00, 197.04, 44.2006263, 12.0630645, 3352
16797, 0.0000000, 0.0000000, 0.0, 44.2006263, 12.0630655, -0.3, 0.0, 359.0, 5059336.00, 197.04, 44.2006263, 12.0630655, 3372
